x	y
831.579	0.10165
832.393	0.100597
833.208	0.0995435
834.023	0.0995435
834.837	0.0984902
835.652	0.0979635
836.466	0.0974368
837.281	0.0963834
838.095	0.0963834
838.91	0.0953301
839.724	0.0942767
840.539	0.0932233
841.353	0.0932233
842.168	0.0932233
842.982	0.0921699
843.797	0.0911166
844.612	0.0905899
845.426	0.0900632
846.241	0.0895365
847.055	0.0890098
847.87	0.0879565
848.684	0.0874298
849.499	0.0869031
850.313	0.0863764
851.128	0.0858497
851.942	0.0847963
852.757	0.0842697
853.571	0.083743
854.386	0.083743
855.201	0.0826896
856.015	0.0821629
856.83	0.0816362
857.644	0.0805829
858.459	0.0805829
859.273	0.0795295
860.088	0.0790028
860.902	0.0784761
861.717	0.0774228
862.531	0.0774228
863.346	0.0763694
864.16	0.0763694
864.975	0.0758427
865.789	0.075316
866.604	0.0742626
867.419	0.0732093
868.233	0.0732093
869.048	0.0726826
869.862	0.0721559
870.677	0.0716292
871.491	0.0711025
872.306	0.0705758
873.12	0.0700492
873.935	0.0689958
874.749	0.0684691
875.564	0.0679424
876.378	0.0674157
877.193	0.066889
878.008	0.0663624
878.822	0.0658357
879.637	0.065309
880.451	0.0647823
881.266	0.0637289
882.08	0.0637289
882.895	0.0626756
883.709	0.0626756
884.524	0.0616222
885.338	0.0616222
886.153	0.0610955
886.967	0.0605688
887.782	0.0600421
888.596	0.0589888
889.411	0.0584621
890.226	0.0579354
891.04	0.0574087
891.855	0.056882
892.669	0.0563553
893.484	0.0558287
894.298	0.055302
895.113	0.0547753
895.927	0.0547753
896.742	0.0531952
